2025-06-17 19:49:25
density=1,type_number=20,gamma=1,w_std=0.5,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF SAM
0.1,1.0,0.105
0.2,1.0,0.194
0.3,1.0,0.294
0.4,1.0,0.358
0.5,1.0,0.416
0.6,1.0,0.454
0.7,1.0,0.49
0.8,1.0,0.536
0.9,1.0,0.59
1,1.0,0.597
2025-06-17 19:49:59
density=1,type_number=20,gamma=1,w_std=1,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF SAM
0.1,1.0,0.124
0.2,1.0,0.206
0.3,1.0,0.307
0.4,1.0,0.375
0.5,1.0,0.404
0.6,1.0,0.465
0.7,1.0,0.521
0.8,1.0,0.578
0.9,1.0,0.586
1,1.0,0.614
2025-06-17 19:50:31
density=1,type_number=20,gamma=1,w_std=1.5,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF SAM
0.1,1.0,0.109
0.2,1.0,0.207
0.3,1.0,0.289
0.4,1.0,0.348
0.5,1.0,0.438
0.6,1.0,0.433
0.7,1.0,0.5
0.8,1.0,0.569
0.9,1.0,0.603
1,1.0,0.658
2025-06-17 19:51:06
density=1,type_number=20,gamma=1,w_std=2,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF SAM
0.1,1.0,0.128
0.2,1.0,0.22
0.3,1.0,0.333
0.4,1.0,0.371
0.5,1.0,0.437
0.6,1.0,0.475
0.7,1.0,0.532
0.8,1.0,0.556
0.9,1.0,0.622
1,1.0,0.64
2025-06-17 20:02:07
density=1,type_number=20,gamma=1,w_std=0.5,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF SAM
1,1.0,0.605
2,1.0,0.655
3,1.0,0.701
4,1.0,0.7
5,1.0,0.694
6,1.0,0.685
7,1.0,0.692
8,1.0,0.733
9,1.0,0.725
10,1.0,0.719
2025-06-17 20:02:41
density=1,type_number=20,gamma=1,w_std=1,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF SAM
1,1.0,0.65
2,1.0,0.695
3,1.0,0.701
4,1.0,0.71
5,1.0,0.726
6,1.0,0.724
7,1.0,0.725
8,1.0,0.739
9,1.0,0.703
10,1.0,0.733
2025-06-17 20:03:14
density=1,type_number=20,gamma=1,w_std=1.5,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF SAM
1,1.0,0.655
2,1.0,0.702
3,1.0,0.717
4,1.0,0.732
5,1.0,0.718
6,1.0,0.723
7,1.0,0.692
8,1.0,0.707
9,1.0,0.723
10,1.0,0.745
2025-06-17 20:03:48
density=1,type_number=20,gamma=1,w_std=2,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF SAM
1,1.0,0.649
2,1.0,0.699
3,1.0,0.721
4,1.0,0.718
5,1.0,0.738
6,1.0,0.736
7,1.0,0.735
8,1.0,0.756
9,1.0,0.743
10,1.0,0.738
2025-06-17 20:19:50
density=1,type_number=20,gamma=1,w_std=3,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF SAM
1,1.0,0.661
2,1.0,0.729
3,1.0,0.73
4,1.0,0.733
5,1.0,0.751
6,1.0,0.743
7,1.0,0.741
8,1.0,0.751
9,1.0,0.748
10,1.0,0.74
2025-06-17 20:20:24
density=1,type_number=20,gamma=1,w_std=5,r_min=0,dist_hyperpara=10,dist_type=poisson
gamma OFF SAM
1,1.0,0.652
2,1.0,0.716
3,1.0,0.723
